Source_ID,Target_ID,Source_File,Target_File,Source_Member,Target_Member,Source_Member_Type,Target_Member_Type,Dependency_Type,Dependency_Count,Is_Member_Level,Source_Member_ID,Target_Member_ID,Source_Module,Target_Module
552,550,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexReader.java,IndexWriterConfig,DEFAULT_TERMS_INDEX_DIVISOR,type,var,Use,2,TRUE,12404,12007,index,index
552,550,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexReader.java,IndexWriterConfig,IndexReader,type,type,Use,2,TRUE,12404,12003,index,index
552,551,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexWriter.java,,IndexWriter,file,type,Import,1,FALSE,,12191,index,index
552,551,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexWriter.java,getMergedSegmentWarmer,IndexReaderWarmer,function,type,Return,1,TRUE,12377,12190,index,index
552,551,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexWriter.java,setMergedSegmentWarmer,IndexReaderWarmer,function,type,Use,1,TRUE,12395,12190,index,index
552,551,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexWriter.java,setMergedSegmentWarmer,IndexReaderWarmer,function,type,Parameter,1,TRUE,12395,12190,index,index
552,551,lucene/src/java/org/apache/lucene/index/IndexWriterConfig.java,lucene/src/java/org/apache/lucene/index/IndexWriter.java,IndexWriterConfig,IndexReaderWarmer,type,type,Contain,1,TRUE,12404,12190,index,index
533,620,lucene/src/java/org/apache/lucene/index/FieldsEnum.java,lucene/src/java/org/apache/lucene/index/TermsEnum.java,terms,TermsEnum,function,type,Return,2,TRUE,11417,14321,index,index
538,649,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/codecs/TermStats.java,appendPostings,TermStats,function,type,Call,1,TRUE,11652,15027,index,index
538,649,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/codecs/TermStats.java,,TermStats,file,type,Import,1,FALSE,,15027,index,index
538,649,lucene/src/java/org/apache/lucene/index/FreqProxTermsWriter.java,lucene/src/java/org/apache/lucene/index/codecs/TermStats.java,appendPostings,TermStats,function,type,Create,1,TRUE,11652,15027,index,index
1451,474,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/Tokenizer.java,reusableTokenStream,reset,function,function,Call,1,TRUE,38666,9929,analysis,analysis
1451,474,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/Tokenizer.java,,Tokenizer,file,type,Import,1,FALSE,,9930,analysis,analysis
1451,474,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/Tokenizer.java,SavedStreams,Tokenizer,type,type,Contain,1,TRUE,38669,9930,analysis,analysis
1451,473,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/TokenStream.java,,TokenStream,file,type,Import,1,FALSE,,9921,analysis,analysis
1451,473,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/TokenStream.java,tokenStream,TokenStream,function,type,Return,2,TRUE,38667,9921,analysis,analysis
1451,473,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/TokenStream.java,reusableTokenStream,TokenStream,function,type,Return,2,TRUE,38666,9921,analysis,analysis
1451,473,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/TokenStream.java,tokenStream,TokenStream,function,type,Contain,2,TRUE,38667,9921,analysis,analysis
1451,473,modules/analysis/common/src/java/org/apache/lucene/collation/CollationKeyAnalyzer.java,lucene/src/java/org/apache/lucene/analysis/TokenStream.java,SavedStreams,TokenStream,type,type,Contain,2,TRUE,38669,9921,analysis,analysis
